source,appearance,color
JERJERROD,3.0,#808080
DARTH VADER,12.0,#000000
C-3PO,32.0,#FFD700
BIB FORTUNA,3.0,#808080
JABBA,4.0,#808080
LUKE,30.0,#3881e5
BOUSHH,3.0,#808080
HAN,32.0,#ff9400
LEIA,21.0,#DCDCDC
LANDO,20.0,#808080
EMPEROR,10.0,#191970
YODA,2.0,#9ACD32
OBI-WAN,2.0,#48D1CC
MON MOTHMA,2.0,#808080
ADMIRAL ACKBAR,9.0,#808080
PIETT,4.0,#808080
WEDGE,7.0,#808080
ANAKIN,2.0,#ce3b59
